seqnames	start	end	score	Type	Group
chr4	61878001	61879000	58	tumor	tumor
chr4	61879001	61880000	21	tumor	tumor
chr4	61880001	61881000	55	tumor	tumor
chr4	61881001	61882000	43	tumor	tumor
chr4	61882001	61883000	33	tumor	tumor
chr4	61883001	61884000	83	tumor	tumor
chr4	61884001	61885000	49	tumor	tumor
chr4	61885001	61886000	38	tumor	tumor
chr4	61886001	61887000	46	tumor	tumor
chr4	61887001	61888000	45	tumor	tumor
chr4	61888001	61889000	35	tumor	tumor
chr4	61889001	61890000	41	tumor	tumor
chr4	61890001	61891000	61	tumor	tumor
chr4	61891001	61892000	69	tumor	tumor
chr4	61892001	61893000	54	tumor	tumor
chr4	61893001	61894000	73	tumor	tumor
chr4	61894001	61895000	86	tumor	tumor
chr4	61895001	61896000	62	tumor	tumor
chr4	61896001	61897000	61	tumor	tumor
chr4	61897001	61898000	69	tumor	tumor
chr4	61898001	61899000	69	tumor	tumor
chr4	61899001	61900000	58	tumor	tumor
chr4	61900001	61901000	70	tumor	tumor
chr4	61901001	61902000	64	tumor	tumor
chr4	61902001	61903000	72	tumor	tumor
chr4	61903001	61904000	80	tumor	tumor
chr4	61904001	61905000	85	tumor	tumor
chr4	61905001	61906000	72	tumor	tumor
chr4	61906001	61907000	55	tumor	tumor
chr4	61907001	61908000	59	tumor	tumor
chr4	61908001	61909000	74	tumor	tumor
chr4	61909001	61910000	86	tumor	tumor
chr4	61910001	61911000	70	tumor	tumor
chr4	61911001	61912000	79	tumor	tumor
chr4	61912001	61913000	77	tumor	tumor
chr4	61913001	61914000	60	tumor	tumor
chr4	61914001	61915000	70	tumor	tumor
chr4	61915001	61916000	93	tumor	tumor
chr4	61916001	61917000	87	tumor	tumor
chr4	61917001	61918000	97	tumor	tumor
chr4	61918001	61919000	72	tumor	tumor
chr4	61919001	61920000	59	tumor	tumor
chr4	61920001	61921000	63	tumor	tumor
chr4	61921001	61922000	62	tumor	tumor
chr4	61922001	61923000	66	tumor	tumor
chr4	61923001	61924000	83	tumor	tumor
chr4	61924001	61925000	78	tumor	tumor
chr4	61925001	61926000	75	tumor	tumor
chr4	61926001	61927000	71	tumor	tumor
chr4	61927001	61928000	55	tumor	tumor
chr4	61928001	61929000	64	tumor	tumor
chr4	61929001	61930000	69	tumor	tumor
chr4	61930001	61931000	88	tumor	tumor
chr4	61931001	61932000	87	tumor	tumor
chr4	61932001	61933000	81	tumor	tumor
chr4	61933001	61934000	84	tumor	tumor
chr4	61934001	61935000	105	tumor	tumor
chr4	61935001	61936000	70	tumor	tumor
chr4	61936001	61937000	77	tumor	tumor
chr4	61937001	61938000	82	tumor	tumor
chr4	61938001	61939000	74	tumor	tumor
chr4	61939001	61940000	13	tumor	tumor
chr4	61940001	61941000	0	tumor	tumor
chr4	61941001	61942000	0	tumor	tumor
chr4	61942001	61943000	56	tumor	tumor
chr4	61943001	61944000	79	tumor	tumor
chr4	61944001	61945000	80	tumor	tumor
chr4	61945001	61946000	63	tumor	tumor
chr4	61946001	61947000	55	tumor	tumor
chr4	61947001	61948000	65	tumor	tumor
chr4	61948001	61949000	65	tumor	tumor
chr4	61949001	61950000	77	tumor	tumor
chr4	61950001	61951000	92	tumor	tumor
chr4	61951001	61952000	69	tumor	tumor
chr4	61952001	61953000	82	tumor	tumor
chr4	61953001	61954000	77	tumor	tumor
chr4	61954001	61955000	85	tumor	tumor
chr4	61955001	61956000	78	tumor	tumor
chr4	61956001	61957000	80	tumor	tumor
chr4	61957001	61958000	74	tumor	tumor
chr4	61958001	61959000	70	tumor	tumor
chr4	61959001	61960000	69	tumor	tumor
chr4	61960001	61961000	76	tumor	tumor
chr4	61961001	61962000	81	tumor	tumor
chr4	61962001	61963000	80	tumor	tumor
chr4	61963001	61964000	68	tumor	tumor
chr4	61964001	61965000	79	tumor	tumor
chr4	61965001	61966000	75	tumor	tumor
chr4	61966001	61967000	69	tumor	tumor
chr4	61967001	61968000	87	tumor	tumor
chr4	61968001	61969000	85	tumor	tumor
chr4	61969001	61970000	79	tumor	tumor
chr4	61970001	61971000	31	tumor	tumor
chr4	61971001	61972000	17	tumor	tumor
chr4	61972001	61973000	28	tumor	tumor
chr4	61973001	61974000	39	tumor	tumor
chr4	61974001	61975000	25	tumor	tumor
chr4	61975001	61976000	57	tumor	tumor
chr4	61976001	61977000	74	tumor	tumor
chr4	61977001	61978000	72	tumor	tumor
chr4	61978001	61979000	82	tumor	tumor
chr4	61979001	61980000	64	tumor	tumor
chr4	61980001	61981000	65	tumor	tumor
chr4	61981001	61982000	56	tumor	tumor
chr4	61982001	61983000	76	tumor	tumor
chr4	61983001	61984000	51	tumor	tumor
chr4	61984001	61985000	69	tumor	tumor
chr4	61985001	61986000	87	tumor	tumor
chr4	61986001	61987000	81	tumor	tumor
chr4	61987001	61988000	71	tumor	tumor
chr4	61988001	61989000	82	tumor	tumor
chr4	61989001	61990000	91	tumor	tumor
chr4	61990001	61991000	94	tumor	tumor
chr4	61991001	61992000	55	tumor	tumor
chr4	61992001	61993000	62	tumor	tumor
chr4	61993001	61994000	78	tumor	tumor
chr4	61994001	61995000	62	tumor	tumor
chr4	61995001	61996000	71	tumor	tumor
chr4	61996001	61997000	60	tumor	tumor
chr4	61997001	61998000	63	tumor	tumor
chr4	61998001	61999000	72	tumor	tumor
chr4	61999001	62000000	59	tumor	tumor
chr4	62000001	62001000	38	tumor	tumor
chr4	62001001	62002000	29	tumor	tumor
chr4	62002001	62003000	64	tumor	tumor
chr4	62003001	62004000	62	tumor	tumor
chr4	62004001	62005000	70	tumor	tumor
chr4	62005001	62006000	73	tumor	tumor
chr4	62006001	62007000	78	tumor	tumor
chr4	62007001	62008000	68	tumor	tumor
chr4	62008001	62009000	60	tumor	tumor
chr4	62009001	62010000	67	tumor	tumor
chr4	62010001	62011000	88	tumor	tumor
chr4	62011001	62012000	88	tumor	tumor
chr4	62012001	62013000	70	tumor	tumor
chr4	62013001	62014000	71	tumor	tumor
chr4	62014001	62015000	73	tumor	tumor
chr4	62015001	62016000	93	tumor	tumor
chr4	62016001	62017000	81	tumor	tumor
chr4	62017001	62018000	82	tumor	tumor
chr4	62018001	62019000	79	tumor	tumor
chr4	62019001	62020000	62	tumor	tumor
chr4	62020001	62021000	68	tumor	tumor
chr4	62021001	62022000	65	tumor	tumor
chr4	62022001	62023000	68	tumor	tumor
chr4	62023001	62024000	80	tumor	tumor
chr4	62024001	62025000	81	tumor	tumor
chr4	62025001	62026000	65	tumor	tumor
chr4	62026001	62027000	72	tumor	tumor
chr4	62027001	62028000	62	tumor	tumor
chr4	62028001	62029000	84	tumor	tumor
chr4	62029001	62030000	70	tumor	tumor
chr4	62030001	62031000	77	tumor	tumor
chr4	62031001	62032000	63	tumor	tumor
chr4	62032001	62033000	88	tumor	tumor
chr4	62033001	62034000	77	tumor	tumor
chr4	62034001	62035000	75	tumor	tumor
chr4	62035001	62036000	90	tumor	tumor
chr4	62036001	62037000	92	tumor	tumor
chr4	62037001	62038000	67	tumor	tumor
chr4	62038001	62039000	75	tumor	tumor
chr4	62039001	62040000	64	tumor	tumor
chr4	62040001	62041000	83	tumor	tumor
chr4	62041001	62042000	77	tumor	tumor
chr4	62042001	62043000	85	tumor	tumor
chr4	62043001	62044000	82	tumor	tumor
chr4	62044001	62045000	88	tumor	tumor
chr4	62045001	62046000	63	tumor	tumor
chr4	62046001	62047000	80	tumor	tumor
chr4	62047001	62048000	75	tumor	tumor
chr4	62048001	62049000	68	tumor	tumor
chr4	62049001	62050000	67	tumor	tumor
chr4	62050001	62051000	67	tumor	tumor
chr4	62051001	62052000	75	tumor	tumor
chr4	62052001	62053000	66	tumor	tumor
chr4	62053001	62054000	77	tumor	tumor
chr4	62054001	62055000	74	tumor	tumor
chr4	62055001	62056000	59	tumor	tumor
chr4	62056001	62057000	67	tumor	tumor
chr4	62057001	62058000	57	tumor	tumor
chr4	62058001	62059000	70	tumor	tumor
chr4	62059001	62060000	75	tumor	tumor
chr4	62060001	62061000	76	tumor	tumor
chr4	62061001	62062000	62	tumor	tumor
chr4	62062001	62063000	71	tumor	tumor
chr4	62063001	62064000	64	tumor	tumor
chr4	62064001	62065000	62	tumor	tumor
chr4	62065001	62066000	61	tumor	tumor
chr4	62066001	62067000	39	tumor	tumor
chr4	62067001	62068000	54	tumor	tumor
chr4	62068001	62069000	40	tumor	tumor
chr4	62069001	62070000	76	tumor	tumor
chr4	62070001	62071000	75	tumor	tumor
chr4	62071001	62072000	70	tumor	tumor
chr4	62072001	62073000	74	tumor	tumor
chr4	62073001	62074000	71	tumor	tumor
chr4	62074001	62075000	65	tumor	tumor
chr4	62075001	62076000	71	tumor	tumor
chr4	62076001	62077000	62	tumor	tumor
chr4	62077001	62078000	94	tumor	tumor
chr4	62078001	62079000	77	tumor	tumor
chr4	62079001	62080000	60	tumor	tumor
chr4	62080001	62081000	65	tumor	tumor
chr4	62081001	62082000	58	tumor	tumor
chr4	62082001	62083000	65	tumor	tumor
chr4	62083001	62084000	63	tumor	tumor
chr4	62084001	62085000	55	tumor	tumor
chr4	62085001	62086000	66	tumor	tumor
chr4	62086001	62087000	73	tumor	tumor
chr4	62087001	62088000	77	tumor	tumor
chr4	62088001	62089000	77	tumor	tumor
chr4	62089001	62090000	78	tumor	tumor
chr4	62090001	62091000	85	tumor	tumor
chr4	62091001	62092000	83	tumor	tumor
chr4	62092001	62093000	93	tumor	tumor
chr4	62093001	62094000	75	tumor	tumor
chr4	62094001	62095000	89	tumor	tumor
chr4	62095001	62096000	85	tumor	tumor
chr4	62096001	62097000	73	tumor	tumor
chr4	62097001	62098000	71	tumor	tumor
chr4	62098001	62099000	63	tumor	tumor
chr4	62099001	62100000	88	tumor	tumor
chr4	62100001	62101000	78	tumor	tumor
chr4	62101001	62102000	60	tumor	tumor
chr4	62102001	62103000	83	tumor	tumor
chr4	62103001	62104000	76	tumor	tumor
chr4	62104001	62105000	81	tumor	tumor
chr4	62105001	62106000	80	tumor	tumor
chr4	62106001	62107000	79	tumor	tumor
chr4	62107001	62108000	70	tumor	tumor
chr4	62108001	62109000	59	tumor	tumor
chr4	62109001	62110000	77	tumor	tumor
chr4	62110001	62111000	77	tumor	tumor
chr4	62111001	62112000	68	tumor	tumor
chr4	62112001	62113000	69	tumor	tumor
chr4	62113001	62114000	78	tumor	tumor
chr4	62114001	62115000	79	tumor	tumor
chr4	62115001	62116000	71	tumor	tumor
chr4	62116001	62117000	66	tumor	tumor
chr4	62117001	62118000	71	tumor	tumor
chr4	62118001	62119000	67	tumor	tumor
chr4	62119001	62120000	80	tumor	tumor
chr4	62120001	62121000	53	tumor	tumor
chr4	62121001	62122000	63	tumor	tumor
chr4	62122001	62123000	68	tumor	tumor
chr4	62123001	62124000	60	tumor	tumor
chr4	62124001	62125000	43	tumor	tumor
chr4	62125001	62126000	49	tumor	tumor
chr4	62126001	62127000	74	tumor	tumor
chr4	62127001	62128000	79	tumor	tumor
chr4	62128001	62129000	72	tumor	tumor
chr4	62129001	62130000	65	tumor	tumor
chr4	62130001	62131000	85	tumor	tumor
chr4	62131001	62132000	61	tumor	tumor
chr4	62132001	62133000	79	tumor	tumor
chr4	62133001	62134000	73	tumor	tumor
chr4	62134001	62135000	74	tumor	tumor
chr4	62135001	62136000	82	tumor	tumor
chr4	62136001	62137000	80	tumor	tumor
chr4	62137001	62138000	57	tumor	tumor
chr4	62138001	62139000	64	tumor	tumor
chr4	62139001	62140000	70	tumor	tumor
chr4	62140001	62141000	72	tumor	tumor
chr4	62141001	62142000	84	tumor	tumor
chr4	62142001	62143000	62	tumor	tumor
chr4	62143001	62144000	75	tumor	tumor
chr4	62144001	62145000	67	tumor	tumor
chr4	62145001	62146000	76	tumor	tumor
chr4	62146001	62147000	61	tumor	tumor
chr4	62147001	62148000	81	tumor	tumor
chr4	62148001	62149000	76	tumor	tumor
chr4	62149001	62150000	75	tumor	tumor
chr4	62150001	62151000	70	tumor	tumor
chr4	62151001	62152000	76	tumor	tumor
chr4	62152001	62153000	77	tumor	tumor
chr4	62153001	62154000	64	tumor	tumor
chr4	62154001	62155000	61	tumor	tumor
chr4	62155001	62156000	78	tumor	tumor
chr4	62156001	62157000	80	tumor	tumor
chr4	62157001	62158000	83	tumor	tumor
chr4	62158001	62159000	70	tumor	tumor
chr4	62159001	62160000	65	tumor	tumor
chr4	62160001	62161000	65	tumor	tumor
chr4	62161001	62162000	67	tumor	tumor
chr4	62162001	62163000	88	tumor	tumor
chr4	62163001	62164000	79	tumor	tumor
chr4	62164001	62165000	74	tumor	tumor
chr4	62165001	62166000	86	tumor	tumor
chr4	62166001	62167000	66	tumor	tumor
chr4	62167001	62168000	63	tumor	tumor
chr4	62168001	62169000	69	tumor	tumor
chr4	62169001	62170000	73	tumor	tumor
chr4	62170001	62171000	69	tumor	tumor
chr4	62171001	62172000	66	tumor	tumor
chr4	62172001	62173000	81	tumor	tumor
chr4	62173001	62174000	49	tumor	tumor
chr4	62174001	62175000	68	tumor	tumor
chr4	62175001	62176000	52	tumor	tumor
chr4	62176001	62177000	75	tumor	tumor
chr4	62177001	62178000	76	tumor	tumor
chr4	62178001	62179000	75	tumor	tumor
chr4	62179001	62180000	79	tumor	tumor
chr4	62180001	62181000	71	tumor	tumor
chr4	62181001	62182000	86	tumor	tumor
chr4	62182001	62183000	84	tumor	tumor
chr4	62183001	62184000	74	tumor	tumor
chr4	62184001	62185000	61	tumor	tumor
chr4	62185001	62186000	75	tumor	tumor
chr4	62186001	62187000	76	tumor	tumor
chr4	62187001	62188000	70	tumor	tumor
chr4	62188001	62189000	53	tumor	tumor
chr4	62189001	62190000	82	tumor	tumor
chr4	62190001	62191000	60	tumor	tumor
chr4	62191001	62192000	68	tumor	tumor
chr4	62192001	62193000	66	tumor	tumor
chr4	62193001	62194000	66	tumor	tumor
chr4	62194001	62195000	73	tumor	tumor
chr4	62195001	62196000	85	tumor	tumor
chr4	62196001	62197000	64	tumor	tumor
chr4	62197001	62198000	64	tumor	tumor
chr4	62198001	62199000	61	tumor	tumor
chr4	62199001	62200000	53	tumor	tumor
chr4	62200001	62201000	88	tumor	tumor
chr4	62201001	62202000	88	tumor	tumor
chr4	62202001	62203000	50	tumor	tumor
chr4	62203001	62204000	76	tumor	tumor
chr4	62204001	62205000	73	tumor	tumor
chr4	62205001	62206000	64	tumor	tumor
chr4	62206001	62207000	70	tumor	tumor
chr4	62207001	62208000	55	tumor	tumor
chr4	62208001	62209000	80	tumor	tumor
chr4	62209001	62210000	79	tumor	tumor
chr4	62210001	62211000	59	tumor	tumor
chr4	62211001	62212000	68	tumor	tumor
chr4	62212001	62213000	64	tumor	tumor
chr4	62213001	62214000	67	tumor	tumor
chr4	62214001	62215000	82	tumor	tumor
chr4	62215001	62216000	56	tumor	tumor
chr4	62216001	62217000	67	tumor	tumor
chr4	62217001	62218000	69	tumor	tumor
chr4	62218001	62219000	65	tumor	tumor
chr4	62219001	62220000	61	tumor	tumor
chr4	62220001	62221000	84	tumor	tumor
chr4	62221001	62222000	91	tumor	tumor
chr4	62222001	62223000	73	tumor	tumor
chr4	62223001	62224000	70	tumor	tumor
chr4	62224001	62225000	62	tumor	tumor
chr4	62225001	62226000	79	tumor	tumor
chr4	62226001	62227000	83	tumor	tumor
chr4	62227001	62228000	67	tumor	tumor
chr4	62228001	62229000	59	tumor	tumor
chr4	62229001	62230000	66	tumor	tumor
chr4	62230001	62231000	100	tumor	tumor
chr4	62231001	62232000	83	tumor	tumor
chr4	62232001	62233000	88	tumor	tumor
chr4	62233001	62234000	3	tumor	tumor
chr4	62234001	62235000	20	tumor	tumor
chr4	62235001	62236000	11	tumor	tumor
chr4	62236001	62237000	5	tumor	tumor
chr4	62237001	62238000	10	tumor	tumor
chr4	62238001	62239000	21	tumor	tumor
chr4	62239001	62240000	63	tumor	tumor
chr4	62240001	62241000	92	tumor	tumor
chr4	62241001	62242000	86	tumor	tumor
chr4	62242001	62243000	68	tumor	tumor
chr4	62243001	62244000	80	tumor	tumor
chr4	62244001	62245000	70	tumor	tumor
chr4	62245001	62246000	69	tumor	tumor
chr4	62246001	62247000	86	tumor	tumor
chr4	62247001	62248000	75	tumor	tumor
chr4	62248001	62249000	79	tumor	tumor
chr4	62249001	62250000	67	tumor	tumor
chr4	62250001	62251000	78	tumor	tumor
chr4	62251001	62252000	56	tumor	tumor
chr4	62252001	62253000	72	tumor	tumor
chr4	62253001	62254000	54	tumor	tumor
chr4	62254001	62255000	67	tumor	tumor
chr4	62255001	62256000	65	tumor	tumor
chr4	62256001	62257000	77	tumor	tumor
chr4	62257001	62258000	64	tumor	tumor
chr4	62258001	62259000	61	tumor	tumor
chr4	62259001	62260000	67	tumor	tumor
chr4	62260001	62261000	82	tumor	tumor
chr4	62261001	62262000	77	tumor	tumor
chr4	62262001	62263000	77	tumor	tumor
chr4	62263001	62264000	82	tumor	tumor
chr4	62264001	62265000	82	tumor	tumor
chr4	62265001	62266000	57	tumor	tumor
chr4	62266001	62267000	70	tumor	tumor
chr4	62267001	62268000	71	tumor	tumor
chr4	62268001	62269000	75	tumor	tumor
chr4	62269001	62270000	82	tumor	tumor
chr4	62270001	62271000	80	tumor	tumor
chr4	62271001	62272000	87	tumor	tumor
chr4	62272001	62273000	53	tumor	tumor
chr4	62273001	62274000	60	tumor	tumor
chr4	62274001	62275000	77	tumor	tumor
chr4	62275001	62276000	61	tumor	tumor
chr4	62276001	62277000	97	tumor	tumor
chr4	62277001	62278000	56	tumor	tumor
chr4	62278001	62279000	80	tumor	tumor
chr4	62279001	62280000	73	tumor	tumor
chr4	62280001	62281000	80	tumor	tumor
chr4	62281001	62282000	79	tumor	tumor
chr4	62282001	62283000	77	tumor	tumor
chr4	62283001	62284000	64	tumor	tumor
chr4	62284001	62285000	64	tumor	tumor
chr4	62285001	62286000	47	tumor	tumor
chr4	62286001	62287000	36	tumor	tumor
chr4	62287001	62288000	70	tumor	tumor
chr4	62288001	62289000	87	tumor	tumor
chr4	62289001	62290000	71	tumor	tumor
chr4	62290001	62291000	58	tumor	tumor
chr4	62291001	62292000	69	tumor	tumor
chr4	62292001	62293000	67	tumor	tumor
chr4	62293001	62294000	41	tumor	tumor
chr4	62294001	62295000	65	tumor	tumor
chr4	62295001	62296000	71	tumor	tumor
chr4	62296001	62297000	66	tumor	tumor
chr4	62297001	62298000	72	tumor	tumor
chr4	62298001	62299000	79	tumor	tumor
chr4	62299001	62300000	64	tumor	tumor
chr4	62300001	62301000	57	tumor	tumor
chr4	62301001	62302000	94	tumor	tumor
chr4	62302001	62303000	76	tumor	tumor
chr4	62303001	62304000	69	tumor	tumor
chr4	62304001	62305000	46	tumor	tumor
chr4	62305001	62306000	72	tumor	tumor
chr4	62306001	62307000	79	tumor	tumor
chr4	62307001	62308000	53	tumor	tumor
chr4	62308001	62309000	75	tumor	tumor
chr4	62309001	62310000	65	tumor	tumor
chr4	62310001	62311000	83	tumor	tumor
chr4	62311001	62312000	68	tumor	tumor
chr4	62312001	62313000	63	tumor	tumor
chr4	62313001	62314000	62	tumor	tumor
chr4	62314001	62315000	64	tumor	tumor
chr4	62315001	62316000	61	tumor	tumor
chr4	62316001	62317000	58	tumor	tumor
chr4	62317001	62318000	76	tumor	tumor
chr4	62318001	62319000	94	tumor	tumor
chr4	62319001	62320000	47	tumor	tumor
chr4	62320001	62321000	70	tumor	tumor
chr4	62321001	62322000	67	tumor	tumor
chr4	62322001	62323000	60	tumor	tumor
chr4	62323001	62324000	70	tumor	tumor
chr4	62324001	62325000	44	tumor	tumor
chr4	62325001	62326000	82	tumor	tumor
chr4	62326001	62327000	52	tumor	tumor
chr4	62327001	62328000	68	tumor	tumor
chr4	62328001	62329000	79	tumor	tumor
chr4	62329001	62330000	66	tumor	tumor
chr4	62330001	62331000	82	tumor	tumor
chr4	62331001	62332000	70	tumor	tumor
chr4	62332001	62333000	64	tumor	tumor
chr4	62333001	62334000	75	tumor	tumor
chr4	62334001	62335000	81	tumor	tumor
chr4	62335001	62336000	69	tumor	tumor
chr4	62336001	62337000	72	tumor	tumor
chr4	62337001	62338000	79	tumor	tumor
chr4	62338001	62339000	72	tumor	tumor
chr4	62339001	62340000	90	tumor	tumor
chr4	62340001	62341000	71	tumor	tumor
chr4	62341001	62342000	67	tumor	tumor
chr4	62342001	62343000	60	tumor	tumor
chr4	62343001	62344000	92	tumor	tumor
chr4	62344001	62345000	80	tumor	tumor
chr4	62345001	62346000	74	tumor	tumor
chr4	62346001	62347000	63	tumor	tumor
chr4	62347001	62348000	82	tumor	tumor
chr4	62348001	62349000	64	tumor	tumor
chr4	62349001	62350000	59	tumor	tumor
chr4	62350001	62351000	61	tumor	tumor
chr4	62351001	62352000	68	tumor	tumor
chr4	62352001	62353000	71	tumor	tumor
chr4	62353001	62354000	63	tumor	tumor
chr4	62354001	62355000	75	tumor	tumor
chr4	62355001	62356000	69	tumor	tumor
chr4	62356001	62357000	83	tumor	tumor
chr4	62357001	62358000	52	tumor	tumor
chr4	62358001	62359000	77	tumor	tumor
chr4	62359001	62360000	77	tumor	tumor
chr4	62360001	62361000	75	tumor	tumor
chr4	62361001	62362000	65	tumor	tumor
chr4	62362001	62363000	42	tumor	tumor
chr4	62363001	62364000	57	tumor	tumor
chr4	62364001	62365000	81	tumor	tumor
chr4	62365001	62366000	70	tumor	tumor
chr4	62366001	62367000	73	tumor	tumor
chr4	62367001	62368000	89	tumor	tumor
chr4	62368001	62369000	53	tumor	tumor
chr4	62369001	62370000	73	tumor	tumor
chr4	62370001	62371000	71	tumor	tumor
chr4	62371001	62372000	78	tumor	tumor
chr4	62372001	62373000	68	tumor	tumor
chr4	62373001	62374000	94	tumor	tumor
chr4	62374001	62375000	61	tumor	tumor
chr4	62375001	62376000	70	tumor	tumor
chr4	62376001	62377000	72	tumor	tumor
